# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3872	3.4825E-001	5.6862E-004	5.7031E-002	10059	-9.2860E-003	-2.0713E-002	-2.0480E-002	-5.2175E-003	1.7606E-002
3873	3.4962E-001	5.6458E-004	5.6642E-002	10065	-9.2278E-003	-2.0607E-002	-1.9513E-002	-2.6128E-003	1.6652E-002
3874	3.5582E-001	5.7459E-004	5.7675E-002	10075	-9.4617E-003	-2.1713E-002	-2.3055E-002	-9.7822E-003	1.2152E-002
3875	3.6696E-001	5.8620E-004	5.8838E-002	10074	-1.0263E-002	-2.2264E-002	-2.7741E-002	-2.0980E-002	6.7019E-003
3876	3.7387E-001	5.9855E-004	6.0059E-002	10068	-1.0771E-002	-2.4992E-002	-3.0533E-002	-2.9696E-002	4.6130E-003
3877	3.7544E-001	5.8956E-004	5.9171E-002	10073	-1.0775E-002	-2.4766E-002	-2.7226E-002	-2.1562E-002	5.0791E-003
3878	3.7178E-001	5.7387E-004	5.7609E-002	10077	-1.0110E-002	-2.3270E-002	-2.4748E-002	-1.5331E-002	7.2319E-003
3879	3.6608E-001	5.6329E-004	5.6547E-002	10077	-9.7035E-003	-2.2383E-002	-2.3496E-002	-1.3512E-002	9.1363E-003
3880	3.5933E-001	5.5170E-004	5.5377E-002	10075	-8.7784E-003	-2.1629E-002	-2.0601E-002	-1.0861E-002	1.5003E-002
3881	3.5728E-001	5.5135E-004	5.5326E-002	10069	-8.2257E-003	-2.1743E-002	-1.9727E-002	-5.6888E-003	1.8781E-002
3882	3.5723E-001	5.5027E-004	5.5190E-002	10059	-8.3613E-003	-2.2360E-002	-1.8303E-002	-6.1533E-003	1.3111E-002
3883	3.5860E-001	5.5085E-004	5.5260E-002	10063	-8.1158E-003	-2.3007E-002	-1.7904E-002	-5.7646E-003	9.8251E-003
3884	3.6158E-001	5.4620E-004	5.4806E-002	10068	-8.2179E-003	-2.2431E-002	-1.8351E-002	-1.0400E-002	7.9184E-003
3885	3.6262E-001	5.4379E-004	5.4559E-002	10066	-7.9406E-003	-2.1278E-002	-1.5711E-002	-8.0949E-003	8.8331E-003
3886	3.6158E-001	5.2008E-004	5.2177E-002	10065	-7.1760E-003	-1.8662E-002	-1.2858E-002	-1.1947E-003	1.0526E-002
3887	3.6133E-001	5.1545E-004	5.1718E-002	10067	-6.0858E-003	-1.8772E-002	-1.1454E-002	8.3186E-003	1.1062E-002
3888	3.6307E-001	5.0396E-004	5.0588E-002	10076	-5.2399E-003	-1.8251E-002	-4.9533E-003	1.5633E-002	1.3625E-002
3889	3.6946E-001	5.0045E-004	5.0241E-002	10078	-4.5232E-003	-1.7565E-002	-5.6720E-004	1.7021E-002	9.6108E-003
3890	3.8322E-001	5.1068E-004	5.1278E-002	10082	-5.0445E-003	-1.7911E-002	-3.1205E-003	2.3396E-002	9.0239E-003
3891	4.0168E-001	5.1283E-004	5.1488E-002	10080	-5.5897E-003	-1.9332E-002	-4.5128E-003	1.3982E-002	7.3677E-003
3892	4.2299E-001	5.3016E-004	5.3221E-002	10078	-6.3885E-003	-2.1161E-002	-6.2273E-003	-9.2775E-004	-8.4968E-004
3893	4.4213E-001	5.4025E-004	5.4234E-002	10078	-6.7298E-003	-2.3875E-002	-1.0786E-002	-3.3307E-003	-2.3580E-003
3894	4.5530E-001	5.4685E-004	5.4904E-002	10080	-7.1927E-003	-2.4081E-002	-1.1912E-002	-5.5586E-003	-1.2064E-003
3895	4.6309E-001	5.4943E-004	5.5177E-002	10085	-7.5080E-003	-2.4692E-002	-1.1497E-002	-4.0538E-003	4.4139E-004
3896	4.6796E-001	5.4501E-004	5.4726E-002	10083	-7.2664E-003	-2.4985E-002	-1.1680E-002	-2.0720E-003	2.8042E-003
3897	4.7160E-001	5.5888E-004	5.6118E-002	10083	-7.7026E-003	-2.4352E-002	-9.0776E-003	2.2438E-003	9.2539E-004
3898	4.7254E-001	5.6150E-004	5.6368E-002	10078	-8.3272E-003	-2.4546E-002	-9.6196E-003	-7.2924E-004	4.6860E-003
3899	4.7373E-001	5.6352E-004	5.6573E-002	10078	-8.3716E-003	-2.4995E-002	-1.0092E-002	-1.7021E-003	5.7510E-003
3900	4.7267E-001	5.6729E-004	5.6950E-002	10078	-8.8196E-003	-2.4670E-002	-1.0516E-002	-7.8062E-003	6.5264E-003
