# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
6771	8.3616E-001	8.2239E-004	6.3879E-002	6033	4.2332E-003	-1.2613E-002	4.4896E-003	2.1019E-003	3.1112E-003
6772	8.3679E-001	8.3196E-004	6.4535E-002	6017	4.2970E-003	-1.2853E-002	4.4590E-003	2.2062E-003	3.2637E-003
6773	8.3860E-001	8.4512E-004	6.5744E-002	6052	4.3265E-003	-1.2953E-002	4.4928E-003	2.1634E-003	3.7508E-003
6774	8.4158E-001	8.5159E-004	6.6107E-002	6026	4.4000E-003	-1.3121E-002	4.5250E-003	2.5712E-003	4.1906E-003
6775	8.4487E-001	8.5409E-004	6.6236E-002	6014	4.3720E-003	-1.3168E-002	4.3819E-003	2.8852E-003	4.4455E-003
6776	8.4941E-001	8.5899E-004	6.6461E-002	5986	4.5198E-003	-1.3164E-002	4.1975E-003	2.2656E-003	4.5666E-003
6777	8.5242E-001	8.5444E-004	6.5707E-002	5914	4.5485E-003	-1.3030E-002	4.0135E-003	2.0979E-003	4.1060E-003
6778	8.5420E-001	8.6836E-004	6.6744E-002	5908	4.5677E-003	-1.3275E-002	4.4684E-003	2.2531E-003	3.8993E-003
6779	8.5475E-001	8.7793E-004	6.7264E-002	5870	4.5665E-003	-1.3356E-002	4.4398E-003	2.0741E-003	3.9970E-003
6780	8.5510E-001	8.6395E-004	6.6151E-002	5863	4.5182E-003	-1.3179E-002	4.4987E-003	2.2434E-003	3.9345E-003
6781	8.5401E-001	8.7626E-004	6.7240E-002	5888	4.5181E-003	-1.3213E-002	4.5721E-003	2.2921E-003	4.0680E-003
6782	8.5039E-001	8.6201E-004	6.6158E-002	5890	4.5010E-003	-1.3070E-002	4.2061E-003	1.8548E-003	4.7365E-003
6783	8.4609E-001	8.5065E-004	6.5247E-002	5883	4.4692E-003	-1.2976E-002	4.0839E-003	1.9918E-003	4.3468E-003
6784	8.4134E-001	8.5147E-004	6.5345E-002	5890	4.3254E-003	-1.2889E-002	4.5229E-003	1.6816E-003	3.5770E-003
6785	8.3573E-001	8.5275E-004	6.5419E-002	5885	4.3555E-003	-1.2902E-002	4.8368E-003	1.9624E-003	3.0287E-003
6786	8.3274E-001	8.4499E-004	6.4828E-002	5886	4.3216E-003	-1.2671E-002	4.7956E-003	2.0976E-003	2.4624E-003
